# Output file from SSolar_GOA model
#   Input Data
#  Ext. Spectrum= Wehrli
# lat=41.66 lon=-4.7 sza=29.358 jday=152
#  p=1013.0 o3=300.0 h2o=1.5 alb=0.2
#  alpha=1.5 beta=0.05 Wa=0.98 g=0.75
# Wavelength Global Direct Diffuse
885 0.78829 0.84301 0.05355
886 0.78707 0.84181 0.05336
887 0.78663 0.84147 0.05323
888 0.78446 0.83927 0.05298
889 0.77982 0.83442 0.05256
890 0.77377 0.82806 0.05205
891 0.76633 0.82021 0.05145
892 0.75465 0.80782 0.05057
893 0.73851 0.79066 0.04939
894 0.71861 0.76947 0.04797
895 0.69392 0.74312 0.04623
896 0.66614 0.71348 0.04429
897 0.63881 0.68430 0.04239
898 0.61464 0.65849 0.04071
899 0.59539 0.63796 0.03936
900 0.58496 0.62687 0.03860
901 0.58323 0.62510 0.03841
902 0.58911 0.63149 0.03872
903 0.59976 0.64299 0.03935
904 0.61023 0.65431 0.03996
905 0.61209 0.65639 0.04000
906 0.60387 0.64766 0.03939
907 0.58981 0.63266 0.03840
908 0.57531 0.61719 0.03738
909 0.56141 0.60236 0.03641
910 0.55116 0.59144 0.03568
911 0.54565 0.58560 0.03525
912 0.54327 0.58312 0.03503
913 0.54208 0.58193 0.03489
914 0.54313 0.58313 0.03489
915 0.54705 0.58741 0.03508
916 0.55306 0.59394 0.03540
917 0.56105 0.60260 0.03584
918 0.57075 0.61310 0.03639
919 0.58146 0.62468 0.03701
920 0.58865 0.63249 0.03739
921 0.59203 0.63620 0.03754
922 0.59184 0.63607 0.03746
923 0.58731 0.63129 0.03710
924 0.57855 0.62195 0.03648
925 0.56871 0.61144 0.03579
926 0.55519 0.59698 0.03488
927 0.53458 0.57489 0.03352
928 0.50636 0.54461 0.03169
929 0.47184 0.50755 0.02948
930 0.42899 0.46151 0.02675
931 0.38208 0.41109 0.02378
932 0.33577 0.36131 0.02086
933 0.29348 0.31584 0.01820
934 0.25980 0.27963 0.01608
935 0.24556 0.26434 0.01517
936 0.25167 0.27094 0.01552
937 0.27297 0.29391 0.01680
938 0.30364 0.32697 0.01866
939 0.33473 0.36049 0.02053
940 0.35508 0.38246 0.02174
941 0.36123 0.38913 0.02208
942 0.35502 0.38248 0.02166
943 0.34086 0.36727 0.02076
944 0.32705 0.35244 0.01988
945 0.31878 0.34356 0.01934
946 0.31770 0.34244 0.01924
947 0.32466 0.34997 0.01963
948 0.33453 0.36066 0.02019
949 0.34177 0.36851 0.02059
950 0.34829 0.37558 0.02094
951 0.35397 0.38175 0.02125
952 0.35606 0.38404 0.02133
953 0.35954 0.38785 0.02150
954 0.36746 0.39644 0.02194
955 0.37532 0.40496 0.02237
956 0.38453 0.41494 0.02288
957 0.39659 0.42801 0.02355
958 0.40771 0.44005 0.02417
959 0.41517 0.44816 0.02457
960 0.42101 0.45452 0.02487
961 0.42577 0.45970 0.02511
962 0.43037 0.46472 0.02533
963 0.43692 0.47185 0.02567
964 0.44752 0.48334 0.02625
965 0.46236 0.49942 0.02707
966 0.48045 0.51902 0.02808
967 0.50028 0.54051 0.02919
968 0.51943 0.56126 0.03025
969 0.53499 0.57813 0.03110
970 0.54516 0.58919 0.03164
971 0.54867 0.59304 0.03179
972 0.54471 0.58883 0.03150
973 0.53746 0.58106 0.03103
974 0.53146 0.57462 0.03063
975 0.52878 0.57179 0.03042
976 0.53049 0.57369 0.03047
977 0.53590 0.57960 0.03073
978 0.54342 0.58780 0.03110
979 0.55304 0.59827 0.03160
980 0.56302 0.60914 0.03212
981 0.57175 0.61864 0.03256
982 0.58003 0.62767 0.03297
983 0.58805 0.63642 0.03337
984 0.59614 0.64524 0.03377
985 0.60429 0.65413 0.03418
986 0.61169 0.66220 0.03453
987 0.61754 0.66860 0.03481
988 0.62146 0.67292 0.03497
989 0.62288 0.67452 0.03499
990 0.62392 0.67572 0.03499
991 0.62564 0.67765 0.03502
992 0.62673 0.67890 0.03502
993 0.62622 0.67841 0.03494
994 0.62488 0.67702 0.03480
995 0.62331 0.67539 0.03466
996 0.62176 0.67378 0.03451
997 0.62023 0.67219 0.03437
998 0.61783 0.66965 0.03418
999 0.61526 0.66693 0.03398
1000 0.61341 0.66499 0.03382
1001 0.61215 0.66370 0.03369
1002 0.61096 0.66247 0.03357
1003 0.61002 0.66151 0.03346
1004 0.60921 0.66070 0.03336
1005 0.60819 0.65966 0.03325
1006 0.60662 0.65801 0.03311
1007 0.60484 0.65615 0.03296
1008 0.60294 0.65415 0.03280
1009 0.60164 0.65280 0.03268
1010 0.60138 0.65258 0.03261
1011 0.60194 0.65325 0.03258
1012 0.60250 0.65392 0.03256
1013 0.60292 0.65443 0.03253
1014 0.60270 0.65426 0.03246
1015 0.60162 0.65315 0.03235
1016 0.59978 0.65122 0.03220
1017 0.59756 0.64886 0.03203
1018 0.59502 0.64616 0.03184
1019 0.59195 0.64289 0.03162
1020 0.58814 0.63881 0.03137
1021 0.58551 0.63602 0.03118
1022 0.58364 0.63404 0.03103
1023 0.58202 0.63234 0.03089
1024 0.58085 0.63112 0.03078
1025 0.58045 0.63075 0.03071
1026 0.58073 0.63111 0.03067
1027 0.58135 0.63184 0.03065
1028 0.58092 0.63143 0.03058
1029 0.57990 0.63038 0.03048
1030 0.57887 0.62931 0.03038
1031 0.57810 0.62854 0.03029
1032 0.57750 0.62794 0.03021
1033 0.57717 0.62764 0.03014
1034 0.57732 0.62785 0.03010
1035 0.57779 0.62842 0.03008
1036 0.57822 0.62894 0.03005
1037 0.57825 0.62903 0.03000
1038 0.57781 0.62861 0.02993
1039 0.57690 0.62767 0.02984
1040 0.57535 0.62604 0.02971
1041 0.57403 0.62466 0.02959
1042 0.57306 0.62365 0.02950
1043 0.57259 0.62320 0.02943
1044 0.57241 0.62306 0.02937
1045 0.57200 0.62266 0.02930
1046 0.57083 0.62144 0.02920
1047 0.56997 0.62056 0.02911
1048 0.56876 0.61930 0.02900
1049 0.56614 0.61649 0.02882
1050 0.56311 0.61325 0.02862
1051 0.56005 0.60997 0.02842
1052 0.55701 0.60671 0.02822
1053 0.55442 0.60393 0.02804
1054 0.55152 0.60083 0.02785
1055 0.54882 0.59794 0.02767
1056 0.54655 0.59551 0.02752
1057 0.54383 0.59259 0.02734
1058 0.54136 0.58996 0.02717
1059 0.53968 0.58818 0.02704
1060 0.53856 0.58700 0.02694
1061 0.53784 0.58627 0.02687
1062 0.53697 0.58537 0.02678
1063 0.53581 0.58415 0.02668
1064 0.53466 0.58294 0.02658
1065 0.53377 0.58202 0.02650
1066 0.53272 0.58093 0.02640
1067 0.53106 0.57916 0.02628
1068 0.52914 0.57711 0.02615
1069 0.52681 0.57461 0.02599
1070 0.52344 0.57099 0.02578
1071 0.52010 0.56738 0.02558
1072 0.51763 0.56474 0.02542
1073 0.51528 0.56222 0.02527
1074 0.51397 0.56083 0.02516
1075 0.51235 0.55910 0.02504
1076 0.50957 0.55613 0.02487
1077 0.50749 0.55389 0.02473
1078 0.50412 0.55026 0.02453
1079 0.49914 0.54487 0.02425
1080 0.49557 0.54101 0.02404
1081 0.49296 0.53820 0.02388
1082 0.48935 0.53430 0.02367
1083 0.48457 0.52913 0.02340
1084 0.47908 0.52317 0.02310
1085 0.47520 0.51897 0.02288
1086 0.47409 0.51780 0.02279
1087 0.47436 0.51814 0.02277
1088 0.47356 0.51730 0.02269
1089 0.47144 0.51503 0.02256
1090 0.46800 0.51130 0.02236
1091 0.46218 0.50499 0.02205
1092 0.45535 0.49756 0.02169
1093 0.44713 0.48861 0.02127
1094 0.43984 0.48068 0.02089
1095 0.43442 0.47479 0.02060
1096 0.42738 0.46714 0.02024
1097 0.41472 0.45333 0.01961
1098 0.39863 0.43578 0.01882
1099 0.38530 0.42124 0.01816
1100 0.37589 0.41097 0.01769
1101 0.35975 0.39336 0.01691
1102 0.36068 0.39440 0.01693
1103 0.36075 0.39451 0.01690
1104 0.35666 0.39007 0.01669
1105 0.35040 0.38325 0.01637
1106 0.34489 0.37725 0.01609
1107 0.34233 0.37447 0.01595
1108 0.34215 0.37431 0.01591
1109 0.34497 0.37742 0.01602
1110 0.34433 0.37674 0.01597
1111 0.33640 0.36810 0.01558
1112 0.32173 0.35207 0.01488
1113 0.30488 0.33365 0.01408
1114 0.28244 0.30911 0.01302
1115 0.25440 0.27845 0.01171
1116 0.22500 0.24629 0.01034
1117 0.19235 0.21057 0.00883
1118 0.16323 0.17870 0.00748
1119 0.13900 0.15218 0.00636
1120 0.11930 0.13062 0.00545
1121 0.10514 0.11512 0.00480
1122 0.09911 0.10853 0.00452
1123 0.09832 0.10768 0.00447
1124 0.09821 0.10757 0.00446
1125 0.10133 0.11098 0.00460
1126 0.10259 0.11238 0.00465
1127 0.10390 0.11381 0.00470
1128 0.11017 0.12069 0.00498
1129 0.12592 0.13796 0.00568
1130 0.14699 0.16105 0.00662
1131 0.16297 0.17857 0.00733
1132 0.15083 0.16528 0.00677
1133 0.11996 0.13147 0.00538
1134 0.10488 0.11494 0.00470
1135 0.10196 0.11175 0.00456
1136 0.11190 0.12265 0.00500
1137 0.14308 0.15684 0.00638
1138 0.18784 0.20592 0.00836
1139 0.21683 0.23772 0.00964
1140 0.21991 0.24111 0.00976
1141 0.21277 0.23330 0.00943
1142 0.19778 0.21688 0.00876
1143 0.17901 0.19631 0.00791
1144 0.16247 0.17819 0.00717
1145 0.15263 0.16740 0.00673
1146 0.15022 0.16477 0.00661
1147 0.15470 0.16969 0.00680
1148 0.16543 0.18148 0.00726
1149 0.17725 0.19446 0.00777
1150 0.18794 0.20619 0.00823
1151 0.19408 0.21295 0.00848
1152 0.19859 0.21790 0.00867
1153 0.20475 0.22468 0.00892
1154 0.21315 0.23391 0.00928
1155 0.22515 0.24709 0.00979
1156 0.23997 0.26337 0.01042
1157 0.26023 0.28564 0.01128
1158 0.28223 0.30980 0.01222
1159 0.30051 0.32989 0.01299
1160 0.31360 0.34427 0.01353
1161 0.32430 0.35605 0.01398
1162 0.33482 0.36762 0.01441
1163 0.34470 0.37850 0.01481
1164 0.35271 0.38731 0.01514
1165 0.35740 0.39248 0.01532
1166 0.35907 0.39435 0.01537
1167 0.35964 0.39500 0.01537
1168 0.36079 0.39629 0.01540
1169 0.36222 0.39788 0.01544
1170 0.36416 0.40004 0.01550
1171 0.36502 0.40100 0.01551
1172 0.36429 0.40022 0.01546
1173 0.36441 0.40038 0.01545
1174 0.36505 0.40112 0.01545
1175 0.36518 0.40128 0.01544
1176 0.36507 0.40118 0.01541
1177 0.36604 0.40228 0.01543
